sizing_mean,sizing_min,sizing_max,sizing_std,deltas_mean,deltas_min,deltas_max,deltas_std,fin,syn,rst,ack,psh,urg,packet_count,label
40.0,40.0,40.0,0.0,153.16513180732727,153.16513180732727,153.16513180732727,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,127.14405703544617,127.14405703544617,127.14405703544617,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,173.20362615585327,173.20362615585327,173.20362615585327,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,79.09729480743408,79.09729480743408,79.09729480743408,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,25.034042835235596,25.034042835235596,25.034042835235596,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,125.1424491405487,125.1424491405487,125.1424491405487,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,141.16681504249573,141.16681504249573,141.16681504249573,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,127.14643597602844,127.14643597602844,127.14643597602844,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,51.05957388877869,51.05957388877869,51.05957388877869,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,41.04487705230713,41.04487705230713,41.04487705230713,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,47.05517292022705,47.05517292022705,47.05517292022705,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,167.19738793373108,167.19738793373108,167.19738793373108,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,73.07681894302368,73.07681894302368,73.07681894302368,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,167.18412709236145,167.18412709236145,167.18412709236145,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,45.05212903022766,45.05212903022766,45.05212903022766,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,99.11216998100281,99.11216998100281,99.11216998100281,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,29.025898933410645,29.025898933410645,29.025898933410645,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,107.12045001983643,107.12045001983643,107.12045001983643,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,41.0555260181427,41.0555260181427,41.0555260181427,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,21.02259612083435,21.02259612083435,21.02259612083435,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,89.09302020072937,89.09302020072937,89.09302020072937,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,45.04158401489258,45.04158401489258,45.04158401489258,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
40.0,40.0,40.0,0.0,175.19215416908264,175.19215416908264,175.19215416908264,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,1
