sizing_mean,sizing_min,sizing_max,sizing_std,deltas_mean,deltas_min,deltas_max,deltas_std,fin,syn,rst,ack,psh,urg,packet_count,label
52.0,52.0,52.0,0.0,1.7285346984863281e-06,9.5367431640625e-07,2.1457672119140625e-06,4.5783196376971053e-07,3.0,0.0,0.0,5.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,1.239776611328125e-06,9.5367431640625e-07,1.9073486328125e-06,3.5040231839893034e-07,3.0,0.0,0.0,6.0,0.0,0.0,6,1
52.0,52.0,52.0,0.0,4.2279561360677086e-05,2.193450927734375e-05,7.605552673339844e-05,2.4049438059407802e-05,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,8.65936279296875e-05,1.9073486328125e-06,0.00032210350036621094,0.0001201728408023986,4.0,0.0,0.0,6.0,0.0,0.0,6,1
44.059701492537314,40.0,52.0,5.677608801417906,0.0041022908687591555,2.86102294921875e-06,0.2702219486236572,0.020424234643439645,3.0,0.0,133.0,80.0,0.0,0.0,201,1
47.2,40.0,52.0,5.878775382679627,7.033348083496094e-06,2.86102294921875e-06,1.71661376953125e-05,5.870376707193914e-06,3.0,0.0,2.0,3.0,0.0,0.0,5,1
52.0,52.0,52.0,0.0,0.00011769930521647136,9.059906005859375e-06,0.00030493736267089844,0.0001329641032984443,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,5.0067901611328125e-06,3.0994415283203125e-06,7.867813110351562e-06,2.0601719851200933e-06,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,4.601478576660156e-05,3.1948089599609375e-05,6.699562072753906e-05,1.5120325084407736e-05,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,1.1603037516276041e-05,3.0994415283203125e-06,2.7894973754882812e-05,1.152383869766084e-05,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,1.0331471761067709e-05,2.1457672119140625e-06,2.5033950805664062e-05,1.0418525149099913e-05,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,4.6888987223307294e-06,4.0531158447265625e-06,5.9604644775390625e-06,8.99132768232406e-07,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,0.039753357569376625,0.008502960205078125,0.0923011302947998,0.03737839817818987,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,0.00013367335001627603,2.288818359375e-05,0.00034999847412109375,0.00015297994976010363,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,8.440017700195312e-05,4.0531158447265625e-06,0.0001690387725830078,6.74234364946575e-05,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,8.662541707356771e-06,4.0531158447265625e-06,1.4066696166992188e-05,4.126470879156484e-06,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,0.0024106502532958984,5.9604644775390625e-06,0.007219076156616211,0.003400070585361917,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,0.020595312118530273,6.508827209472656e-05,0.05383586883544922,0.0237204360816712,4.0,0.0,0.0,4.0,0.0,0.0,4,1
52.0,52.0,52.0,0.0,0.009986639022827148,6.103515625e-05,0.02216506004333496,0.00916345523984634,4.0,0.0,0.0,4.0,0.0,0.0,4,1
50.666666666666664,40.0,52.0,3.7712361663282534,0.0010592639446258545,5.9604644775390625e-06,0.005594015121459961,0.0018360589135895818,3.0,0.0,1.0,8.0,0.0,0.0,9,1
44.0,40.0,52.0,5.656854249492381,4.4226646423339844e-05,2.86102294921875e-06,0.00021386146545410156,6.6947240771507e-05,3.0,0.0,6.0,3.0,0.0,0.0,9,1
59.07663197729423,40.0,64.0,4.098456318048876,0.04254873954888546,1.9073486328125e-06,18.87064790725708,0.6706418801857947,1.0,1002.0,45.0,10.0,0.0,0.0,1057,1
41.59542711972055,40.0,60.0,2.5770177898637114,0.1701086089299019,1.9073486328125e-06,11.993880033493042,0.42774243460451494,3.0,1142.0,3.0,2.0,3.0,3.0,3149,1
40.0,40.0,40.0,0.0,0.002290964126586914,3.2901763916015625e-05,0.00637507438659668,0.0028932826324092856,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.6646779378255209,0.00024080276489257812,1.9930408000946045,0.9392944109902504,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,9.338061014811198e-05,5.9604644775390625e-06,0.0002300739288330078,9.790333807903603e-05,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.002489328384399414,3.504753112792969e-05,0.006802082061767578,0.003059262439777139,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.33095161120096844,3.1948089599609375e-05,0.9927618503570557,0.4679705081166208,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,2.5033950805664062e-05,6.198883056640625e-06,6.103515625e-05,2.546581272955316e-05,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.33135000864664715,8.106231689453125e-05,0.9938440322875977,0.46845401695442485,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,5.698204040527344e-05,8.106231689453125e-06,0.00011801719665527344,4.5687287467975644e-05,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.0025343100229899087,8.702278137207031e-05,0.007420063018798828,0.0034547509516318713,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.33115434646606445,0.00042700767517089844,0.9925720691680908,0.4676929571628996,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,1.430511474609375e-05,4.0531158447265625e-06,3.2901763916015625e-05,1.3172851247006471e-05,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.3334086736043294,0.0002560615539550781,0.9926490783691406,0.46616228316893854,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.0021149317423502603,3.600120544433594e-05,0.00613093376159668,0.002840332745974673,4.0,0.0,0.0,0.0,4.0,4.0,4,1
40.0,40.0,40.0,0.0,0.0005103747049967448,5.9604644775390625e-06,0.0007801055908203125,0.00035696160100536135,4.0,0.0,0.0,0.0,4.0,4.0,4,1
